,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
UNIT.,,BSO,TYPE,COST,SIZE,PRICE PER M2,NEXT PRICE
BOOKED,,1,STUDIO GARDEN,109700,"31,2",3516,115185
EARLY STAGE,,2,STUDIO GARDEN,109700,"31,2",3516,115185
BOOKED,,3,STUDIO GARDEN,109700,"31,2",3516,115185
BOOKED,,4,STUDIO GARDEN,109700,"31,2",3516,115185
BOOKED,,5,STUDIO PALMS+OCEAN,109700,"31,2",3516,115185
EARLY STAGE,,6,STUDIO PALMS+OCEAN,109700,"31,2",3516,115185
PREBOOKED,,7,STUDIO PALMS+OCEAN,109700,"31,2",3516,115185
BOOKED,,8,STUDIO PALMS+OCEAN,109700,"31,2",3516,115185
EARLY STAGE,,9,STUDIO VOLCANO VIEW,109700,"31,2",3516,115185
EARLY STAGE,,10,STUDIO VOLCANO VIEW,109700,"31,2",3516,115185
EARLY STAGE,,11,STUDIO VOLCANO VIEW,109700,"31,2",3516,115185
EARLY STAGE,,12,STUDIO VOLCANO VIEW,109700,"31,2",3516,115185
BOOKED,,13,STUDIO OCEAN,115000,"31,2",3686,120750
BOOKED,,14,STUDIO OCEAN,115000,"31,2",3686,120750
BOOKED,,15,STUDIO OCEAN,115000,"31,2",3686,120750
EARLY STAGE,,16,STUDIO OCEAN,115000,"31,2",3686,120750
BOOKED,,17,STUDIO VOLCANO VIEW,115000,"31,2",3686,120750
EARLY STAGE,,18,STUDIO VOLCANO VIEW,115000,"31,2",3686,120750
EARLY STAGE,,19,STUDIO VOLCANO VIEW,115000,"31,2",3686,120750
PREBOOKED,,20,STUDIO VOLCANO VIEW,115000,"31,2",3686,120750
PREBOOKED,,P1,PENTHOUSE OCEAN VIEW,119700,"31,2",3837,125685
EARLY STAGE,,P2,PENTHOUSE OCEAN VIEW,119700,"31,2",3837,125685
PREBOOKED,,P3,PENTHOUSE OCEAN VIEW,119700,"31,2",3837,125685
BOOKED,,P4,PENTHOUSE OCEAN VIEW,119700,"31,2",3837,125685
EARLY STAGE,,P5,PENTHOUSE VOLCANO VIEW,119700,"31,2",3837,125685
PREBOOKED,,P6,PENTHOUSE VOLCANO VIEW,119700,"31,2",3837,125685
EARLY STAGE,,P7,PENTHOUSE VOLCANO VIEW,119700,"31,2",3837,125685
EARLY STAGE,,P8,PENTHOUSE VOLCANO VIEW,119700,"31,2",3837,125685
BOOKED,,21,2BD,253700,"104,61",2425,266385
BOOKED,,22,1BD SKY,196700,"83,3",2361,206535
BOOKED,,23,1BD,189700,"71,3",2661,199185
BOOKED,,24,2BD,253700,"104,61",2425,266385
EARLY STAGE,,25,1BD SKY,196700,"83,3",2361,206535
EARLY STAGE,,26,1BD,189700,"71,3",2661,199185
BOOKED,,27,2BD,253700,"104,61",2425,266385
BOOKED,,28,1BD SKY,196700,"83,3",2361,206535
PREBOOKED,,29,1BD,199700,"71,3",2801,209685
EARLY STAGE,,30,1BD,199700,"71,3",2801,209685
PREBOOKED,,31,1BD SKY,206700,"83,3",2481,217035
